Author,Liang,,,,,Isotherms shifted by 0.18 mass% to remove irreversible portion,,,,
DOI,10.1016/S0925-8388(01)01010-6,,,,,,,,,
Location,Figure 5,,,,,,,,,
,,,,,,,,,,
Abs/Des,Des,,Des,,Des,,Des,,Abs,
Temp (K),298,,303,,333,,353,,353,
,mass %,P (bar),mass %,P (bar),mass %,P (bar),mass %,P (bar),mass %,P (bar)
,0.023366773,0.190679986,0.044502364,0.229939782,0.041407839,0.236819888,0.004588513,0.269015831,0.015784154,0.579656553
,0.05971663,0.241580866,0.074713403,0.300026312,0.077600928,0.340981051,0.071146691,0.440359179,0.039775782,0.810209862
,0.083951454,0.285654399,0.080553953,0.368921506,0.104602759,0.505607931,0.098131973,0.659423045,0.051762845,0.967351584
,0.105060321,0.358297402,0.113807092,0.49581054,0.122476923,0.727827498,0.110002255,0.868730944,0.063478465,1.420081602
,0.181361566,0.428126101,0.193369428,0.516216596,0.140357461,1.047714709,0.13715236,1.167440016,0.075445068,1.729207031
,0.264152379,0.428558806,0.442198771,0.522903502,0.201123032,1.52390727,0.152002203,1.647729961,0.09332191,2.464836631
,0.470226993,0.417137072,0.670564382,0.545403224,0.40689938,1.527732123,0.163963775,2.046287259,0.102171214,3.152628207
,0.643032323,0.434792917,0.893833316,0.536217206,0.935934266,1.537537637,0.175954383,2.491726047,0.114160133,3.8013076
,0.770045516,0.410495171,1.049245398,0.622665363,1.013359145,2.047206189,0.310783906,2.781141096,0.144622525,4.2374373
,0.844470171,0.419029784,1.098635574,0.90553494,1.050470906,2.51824919,0.655970386,2.848326419,0.359324545,4.462804635
,0.984242744,0.458603118,1.129312114,1.34278071,1.059463318,3.284960789,0.897764265,2.913426286,0.522507288,4.605633405
,1.033622762,0.641200376,1.147566801,1.914018982,1.077866106,4.120184689,0.938060836,3.18475613,0.813329448,4.53179112
,1.07358796,0.969815823,1.16286417,2.424319867,1.093089106,5.428178284,0.969025848,3.550147958,0.977937286,4.864577362
,1.101209022,1.355602276,1.175068,3.010720794,1.114545043,7.222664719,0.984349172,4.238864405,1.015063,5.809809964
,1.131833752,2.090864601,1.184242836,3.489962424,1.129832442,9.148315527,1.012081292,5.26515705,1.027257887,7.07449785
,1.140934038,2.545911795,1.224313728,5.330766788,1.154587533,10.81731603,1.030400278,6.936893039,1.045675607,8.700320339
,1.1685251,3.738122685,1.255253708,6.887497861,1.163705259,13.0425805,1.061235345,8.874897726,1.067151432,11.23979242
,1.196144552,5.434884433,1.289277379,9.347956734,,,1.076440017,11.807942,1.085517024,14.51994894
,1.217684278,7.021232607,1.32025702,12.07781818,,,1.08862304,14.66407836,,
,1.264175522,9.720317317,,,,,,,,
,1.285730787,12.68168392,,,,,,,,
