Author,Dayan,,,,,,,,,,,,,,,
DOI,10.1016/0025-5408(81)90072-6,,,,,,,,,,,,,,,
Location,Figure 1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),253,,253,,273,,273,,298,,298,,308,,308,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.06,6.42,0.01,2.54,0.08,18.34,0.05,7.99,0.05,20.7,0.08,21.08,0.02,20.72,0.07,27.73
,0.12,9.51,0.07,4.65,0.3,23.1,0.11,10.1,0.06,28.52,0.2,24.13,0.06,40.84,0.24,33.11
,0.19,11.04,0.14,5.39,0.53,24.33,0.22,10.04,0.09,35.55,0.4,25.58,0.08,54.92,0.5,35.89
,0.41,11.49,0.24,5.73,0.75,26.15,0.39,10.33,0.18,42.53,0.63,26.81,0.15,66.03,0.88,37.81
,0.66,11.14,0.3,6.08,0.96,28.18,0.48,10.08,0.34,45.76,0.86,28.43,0.27,70.45,0.99,44.39
,0.88,11.6,0.41,6.01,1.09,32.4,0.58,10.6,0.48,47.24,1.08,31.83,0.44,73.29,1.12,63.68
,1.01,12.31,0.49,5.77,1.15,38.23,0.69,10.35,0.61,48.34,1.19,41.34,0.59,76.52,,
,1.21,15.12,0.6,6.29,1.18,44.08,0.77,10.69,0.76,50.99,1.26,60.86,0.7,79.39,,
,1.4,22.44,0.69,6.24,,,1.07,13.64,0.87,53.46,,,0.84,82.83,,
,,,0.8,6.17,,,1.15,17.7,0.95,56.16,,,0.94,86.87,,
,,,0.89,6.7,,,1.21,23.33,1.01,59.64,,,1.01,90.74,,
,,,0.99,7.62,,,1.26,35.04,1.1,63.3,,,1.07,94.03,,
,,,1.09,8.93,,,1.29,54.59,1.13,68.17,,,1.1,97.14,,
,,,1.26,13.33,,,,,1.16,71.09,,,1.17,103.36,,
,,,,,,,,,1.17,74.22,,,,,,
