Author,Pourarian,,,,,,,,,,,,,
DOI,10.1016/0360-3199(85)90135-1,,,,,,,,,,,,,
Location,Figures 3 and 4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Des,,Abs,,Des,
Temp (K),296,,296,,329,,329,,343,,373,,373,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.041,0.161,0.041,0.217,0.027,0.161,0.027,0.229,0.015,0.431,0.01,0.225,0.008,1.101
,0.052,0.315,0.049,0.338,0.032,0.352,0.034,0.444,0.022,1.073,0.014,0.726,0.032,3.325
,0.057,0.417,0.077,0.656,0.073,1.425,0.062,1.137,0.092,3.434,0.016,1.631,0.074,5.791
,0.087,0.993,0.173,1.085,0.106,2.497,0.155,2.411,0.299,4.474,0.035,3.47,0.17,7.903
,0.134,2.238,0.281,1.125,0.125,3.495,0.456,2.757,0.606,4.458,0.051,5.281,0.434,8.526
,0.219,3.063,0.417,1.076,0.142,4.376,0.748,3.15,0.884,4.815,0.068,7.392,0.682,8.936
,0.457,3.121,0.658,1.192,0.224,5.207,1.032,3.404,1.054,6.43,0.093,10.948,0.903,10.437
,0.843,3.599,0.974,1.402,0.485,5.781,1.182,5.354,1.122,8.285,0.118,14.103,1.002,11.746
,1.078,6.589,1.189,2.544,0.854,6.294,1.256,7.294,1.159,10.649,0.146,16.711,1.053,13.168
,1.137,10.639,1.259,4.565,1.063,10.577,1.278,9.365,1.212,16.173,0.432,19.115,1.11,16.043
,1.165,14.096,1.34,15.039,1.125,15.278,1.301,12.361,1.246,23.207,0.761,21.335,1.192,23.109
,1.215,22.745,1.363,21.561,1.153,19.685,1.331,22.109,1.283,30.664,0.994,25.695,1.234,32.28
,1.279,47.235,1.382,30.064,1.189,27.596,1.356,30.004,1.302,39.362,1.096,29.784,1.268,41.483
,,,1.404,45.545,1.226,38.687,1.37,38.497,1.316,47.796,1.141,36.34,1.276,46.351
,,,,,,,1.376,45.444,,,1.183,45.584,,
