Author,Kapischke,,,,,,,,,,,,,,,
DOI,10.1016/S0894-1777(98)10007-9,,,,,,,,,,,,,,,
Location,Figure 8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),323,,323,,373,,373,,423,,423,,473,,473,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.172,0.633,0.187,0.52,0.121,1.655,0.152,1.209,0.077,2.65,0.153,2.867,0.033,1.862,0.121,6.285
,0.398,0.866,0.342,0.74,0.272,3.628,0.192,1.688,0.145,6.163,0.228,6.798,0.066,6.798,0.249,19.616
,0.632,1.53,0.573,1.185,0.474,6.043,0.256,2.45,0.26,10.888,0.407,12.991,0.118,14.33,0.4,36.043
,0.89,2.756,0.676,1.5,0.661,8.272,0.355,3.421,0.411,17.098,0.638,22.505,0.154,20.005,0.614,57.725
,1.057,6.933,0.787,1.898,0.8,10.888,0.482,4.775,0.614,26.33,0.852,33.982,0.202,26.852,0.741,73.053
,1.121,11.323,0.858,2.265,0.931,15.5,0.653,6.409,0.797,36.043,1.015,50.316,0.297,36.757,0.912,96.151
,,,0.942,2.924,1.07,27.927,0.891,10.066,0.987,53.367,1.082,63.676,0.396,46.517,,
,,,1.049,5.165,1.146,37.486,1.042,17.437,1.075,62.439,,,0.551,60.036,,
,,,1.121,11.323,1.209,44.727,1.161,33.982,,,,,0.634,68.876,,
,,,,,,,1.249,58.869,,,,,0.793,83.81,,
