Author,Kapischke,,,,,,,,,,,,,,,,,,,
DOI,10.1016/S0894-1777(98)10007-9,,,,,,,,,,,,,,,,,,,
Location,Figure 5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),323,,323,,343,,343,,363,,363,,393,,393,,423,,423,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.163,1.284,0.163,1.067,0.171,2.424,0.132,1.219,0.262,7.763,0.171,2.456,0.218,7.365,0.203,2.841,0.238,12.503,0.263,11.857
,0.355,5.500,0.233,1.860,0.312,7.361,0.215,2.589,0.382,14.259,0.325,8.742,0.313,13.892,0.376,12.827,0.352,24.213,0.371,22.362
,0.618,7.643,0.354,4.166,0.450,11.231,0.387,7.860,0.546,20.360,0.476,16.266,0.396,20.652,0.502,23.557,0.460,35.987,0.485,33.235
,1.031,9.296,0.686,6.872,0.770,14.798,1.014,14.971,0.940,26.112,0.796,23.202,0.516,30.692,0.697,37.884,0.561,48.117,0.579,45.031
,1.563,11.600,1.187,8.465,1.320,18.959,1.351,17.278,1.403,33.034,1.153,28.230,0.679,41.020,1.004,48.615,0.667,59.422,0.692,56.349
,1.795,17.457,1.412,9.273,1.765,29.644,1.677,21.307,1.704,41.835,1.535,33.445,1.029,51.249,1.386,59.927,0.793,69.590,0.824,68.661
,1.916,31.224,1.650,10.568,1.917,46.441,1.815,30.029,1.886,61.331,1.754,44.682,1.480,63.146,1.730,72.920,0.974,79.341,0.999,79.328
,2.124,63.715,1.782,13.399,2.043,67.215,1.942,46.434,,,1.880,62.151,,,,,1.143,88.103,1.143,88.103
,,,1.877,19.916,,,2.043,67.215,,,,,,,,,,,,
,,,1.991,34.694,,,,,,,,,,,,,,,,
,,,2.118,63.718,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
