Author,Taizhong,,,,,,,,,,,
DOI,10.1016/j.intermet.2003.08.005,,,,,,,,,,,
Location,Figure 6,,,,,,,,,,,
,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),273,,273,,303,,303,,333,,333,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.287,0.017,0.461,0.029,0.262,0.049,0.324,0.054,0.137,0.02,0.243,0.075
,0.393,0.052,0.505,0.047,0.312,0.081,0.362,0.087,0.187,0.049,0.287,0.129
,0.449,0.084,0.561,0.081,0.362,0.138,0.38,0.111,0.262,0.12,0.324,0.237
,0.486,0.12,0.63,0.107,0.411,0.213,0.405,0.165,0.33,0.328,0.387,0.392
,0.549,0.154,0.742,0.154,0.499,0.422,0.474,0.255,0.399,0.604,0.455,0.806
,0.661,0.198,0.823,0.184,0.549,0.542,0.536,0.407,0.455,1,0.542,1.433
,0.786,0.264,0.916,0.191,0.623,0.698,0.617,0.505,0.561,1.715,0.692,2.129
,0.904,0.328,0.998,0.221,0.698,0.835,0.705,0.673,0.617,2.288,0.779,2.548
,1.016,0.407,1.072,0.229,0.773,1,0.798,0.777,0.698,2.738,0.86,2.738
,1.135,0.453,1.135,0.264,0.823,1.155,0.898,0.898,0.792,3.398,0.935,3.278
,1.259,0.604,1.247,0.294,0.91,1.241,0.973,0.965,0.885,3.523,1.016,3.398
,1.365,0.75,1.328,0.365,0.991,1.382,1.072,1.114,1.035,4.217,1.097,3.786
,1.459,1.037,1.428,0.453,1.035,1.54,1.153,1.241,1.122,4.87,1.172,3.924
,1.546,1.486,1.521,0.542,1.104,1.655,1.209,1.286,1.253,5.829,1.253,4.532
,1.633,2.054,1.615,0.698,1.147,1.715,1.272,1.433,1.315,6.978,1.309,5.048
,1.683,2.943,1.708,0.965,1.197,1.911,1.372,1.596,1.397,6.978,1.384,5.623
,1.746,4.87,1.771,1.486,1.247,2.129,1.459,1.843,1.49,8.977,1.459,6.043
,1.833,6.978,1.808,2.548,1.322,2.371,1.602,2.548,1.571,11.14,1.496,6.978
,1.883,11.548,1.833,3.652,1.397,2.642,1.652,3.051,1.64,14.855,1.559,7.234
,1.945,19.11,1.864,4.698,1.465,3.051,1.733,3.652,1.702,17.783,1.602,9.306
,1.989,29.427,1.889,6.978,1.527,3.523,1.777,5.048,1.783,25.483,1.696,11.971
,,,1.92,10.366,1.59,4.371,1.82,6.978,,,1.727,15.399
,,,1.933,13.824,1.621,5.233,1.858,10,,,1.777,19.81
,,,1.951,19.81,1.708,6.732,1.883,15.399,,,,
,,,1.983,29.427,1.746,8.977,1.92,22.876,,,,
,,,2.008,33.982,1.814,11.971,,,,,,
,,,,,1.858,15.399,,,,,,
,,,,,1.902,19.81,,,,,,
,,,,,1.933,26.416,,,,,,
