Author,Oguro,,,,(Isotherms shifted by 0.1 mass% to remove irreversible portion(,,,
DOI,10.1016/0022-5088(83)90280-1,,,,,,,
Location,Figure 2,,,,,,,
,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,
Temp (K),393,,393,,423,,423,
,mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar),mass %,Peq (bar)
,0.062923031,0.532457215,0.067553944,0.36470744,0.037960578,0.615874815,0.034161103,0.48088287
,0.07061866,0.812058149,0.062903696,0.540263328,0.053699879,1.102359778,0.049784389,0.93927953
,0.082577821,1.118520973,0.087054048,0.860736501,0.077869566,1.730881424,0.081843063,1.94461441
,0.110972371,1.632992633,0.111417093,1.168440092,0.114443138,2.678492917,0.122525481,3.053356105
,0.164271366,2.153172922,0.181074133,1.730881424,0.159292411,4.085008032,0.175727798,4.329881454
,0.242416801,2.678492917,0.24264883,2.249268122,0.196098011,5.308438936,0.229142808,5.231738798
,0.320620242,3.1896261,0.316724089,2.678492917,0.290736841,6.700376264,0.323781638,6.603564416
,0.41126624,3.636023923,0.423844145,3.143540092,0.397837561,7.979000009,0.418594489,7.311792001
,0.547380253,3.967814581,0.5434841,3.331977768,0.484432718,8.581285077,0.538195772,7.979000009
,0.683513603,4.267320217,0.675547274,3.430391129,0.57519473,8.96426421,0.641342331,8.335099414
,0.803153557,4.523122237,0.786930863,3.636023923,0.67834129,9.364335541,0.752783928,8.457296508
,0.897966408,5.008223879,0.910679664,3.910484747,0.773231484,9.782261887,0.86005867,8.834742084
,0.992721252,5.792839062,1.00128699,4.58943367,0.868102342,10.36865387,0.934230608,9.782261887
,1.066796512,6.89827871,1.079393753,5.877765235,0.958787011,11.48068462,1.020767758,10.99019677
,1.103660119,8.581285077,1.136743588,8.214667912,1.037009788,13.47399209,1.065907067,13.47399209
,1.136376209,10.83140251,1.181670204,11.81977835,1.102790011,16.5191276,1.107034208,15.13778981
,1.169014955,14.49105992,1.21430895,15.81338298,1.131474596,19.38722315,1.143897816,18.83102948
,1.197641533,17.76605376,1.23865266,21.78119945,1.160159181,22.75328519,1.168376875,23.42532668
,,,,,1.192797928,30.44104571,1.192913942,27.8955501
