Author,Kapischke,,,,Isotherms shifted by 0.4 mass percent to zero on reversible portion,,,,,,,,,,,
DOI,10.1016/S0894-1777(98)10007-9,,,,,,,,,,,,,,,
Location,Figure 7,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Abs/Des,Abs,,Des,,Abs,,Des,,Abs,,Des,,Abs,,Des,
Temp (K),673,,673,,623,,623,,573,,573,,523,,523,
,mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar),mass %,eq. pressure (bar)
,0.104,1.75,0.049,1.132,0.204,1.772,0.061,0.494,0.045,0.324,0.085,0.324,0.042,0.345,0.067,0.303
,0.2,5.006,0.15,1.793,0.279,4.901,0.158,0.857,0.173,0.708,0.167,0.517,0.268,0.39,0.445,0.477
,0.231,6.858,0.252,5.645,0.332,7.029,0.177,1.155,0.284,2.029,0.238,0.751,0.512,0.563,0.927,0.674
,0.232,7.985,0.279,11.816,0.491,8.137,0.269,2.177,0.537,2.925,0.284,1.39,0.802,0.736,1.079,1.016
,0.276,12.05,,,0.726,10.14,0.463,7.116,0.836,3.928,0.372,2.115,1.177,1.549,1.171,1.251
,,,,,0.929,12.397,0.923,12.461,1.112,6.165,0.531,2.648,1.34,4.827,1.263,2.422
,,,,,,,,,1.248,11.422,0.714,3.203,1.372,7.423,1.352,4.465
,,,,,,,,,,,0.949,4.312,1.394,9.36,1.413,12.041
,,,,,,,,,,,1.148,5.676,1.419,12.019,,
,,,,,,,,,,,1.245,11.422,,,,
